City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Karwar,IN,2021-10-02 15:39:28,14.8,74.1333,79.93,90,46,9.75
68,Ostrovnoy,RU,2021-10-02 15:34:34,68.0531,39.5131,44.91,81,57,17.98
69,Itarema,BR,2021-10-02 15:39:29,-2.9248,-39.9167,88.12,53,40,19.93
70,Hithadhoo,MV,2021-10-02 15:39:29,-0.6,73.0833,83.1,74,44,9.64
71,Fuxin,CN,2021-10-02 15:39:29,42.0156,121.6589,60.03,87,94,13.82
72,Vaini,TO,2021-10-02 15:39:30,-21.2,-175.2,71.76,94,75,11.5
73,Florianopolis,BR,2021-10-02 15:39:30,-27.6146,-48.5012,72.12,73,90,1.01
74,Barrow,US,2021-10-02 15:34:55,71.2906,-156.7887,30.22,69,90,18.41
75,Gao,ML,2021-10-02 15:39:30,16.6362,1.637,101.64,8,5,15.88
76,Port Alfred,ZA,2021-10-02 15:35:04,-33.5906,26.891,58.12,62,44,35.5
77,Brae,GB,2021-10-02 15:39:31,60.3964,-1.353,53.51,81,47,23.55
78,Broome,US,2021-10-02 15:34:42,42.2506,-75.833,68.58,64,1,1.99
79,Mataura,NZ,2021-10-02 15:34:47,-46.1927,168.8643,50.49,95,100,1.07
80,Nsanje,MW,2021-10-02 15:39:31,-16.92,35.262,92.17,21,5,4.12
81,Vila,PT,2021-10-02 15:39:32,42.0304,-8.1588,57.33,92,100,10.31
82,Port Elizabeth,ZA,2021-10-02 15:34:35,-33.918,25.5701,57.49,62,40,31.07
83,Sao Filipe,CV,2021-10-02 15:39:32,14.8961,-24.4956,79.93,80,40,7.14
84,Dingle,PH,2021-10-02 15:39:32,10.9995,122.6711,77.0,90,100,2.06
85,Hermanus,ZA,2021-10-02 15:39:33,-34.4187,19.2345,59.9,57,71,8.19
86,Manokwari,ID,2021-10-02 15:39:33,-0.8667,134.0833,78.1,83,100,4.45
87,Castro,BR,2021-10-02 15:39:33,-24.7911,-50.0119,71.8,69,100,2.3
88,Korla,CN,2021-10-02 15:39:34,41.7597,86.1469,59.32,30,93,19.06
89,Ankazobe,MG,2021-10-02 15:39:34,-18.3167,47.1167,66.61,49,5,13.87
90,Hofn,IS,2021-10-02 15:36:59,64.2539,-15.2082,47.3,73,100,18.12
91,Meulaboh,ID,2021-10-02 15:39:34,4.1363,96.1285,77.27,83,99,1.34
92,Ankazoabo,MG,2021-10-02 15:39:35,-22.2833,44.5167,78.66,56,66,8.88
93,Kenai,US,2021-10-02 15:39:35,60.5544,-151.2583,40.14,76,90,3.44
94,Mar Del Plata,AR,2021-10-02 15:36:33,-38.0023,-57.5575,60.82,28,0,13.0
95,Novopetrovskoye,RU,2021-10-02 15:39:35,55.9928,36.4719,45.52,77,96,2.39
96,Keuruu,FI,2021-10-02 15:39:36,62.2667,24.7,50.18,68,88,9.71
97,Puerto Madero,MX,2021-10-02 15:39:36,14.7208,-92.4215,84.4,79,20,0.0
98,Sechura,PE,2021-10-02 15:39:36,-5.5569,-80.8222,73.63,59,48,10.16
99,Uglovka,RU,2021-10-02 15:39:37,58.2392,33.5108,44.67,81,100,5.06
100,San Juan,AR,2021-10-02 15:35:31,-31.5375,-68.5364,83.34,8,0,7.07
101,Avera,US,2021-10-02 15:39:37,33.194,-82.5271,80.94,53,15,6.76
102,Maragogi,BR,2021-10-02 15:39:37,-9.0122,-35.2225,80.35,76,18,10.6
103,Atar,MR,2021-10-02 15:38:01,20.5169,-13.0499,104.05,14,40,4.61
104,Galesong,ID,2021-10-02 15:39:38,-5.3166,119.3661,77.02,77,52,6.13
105,Abu Dhabi,AE,2021-10-02 15:38:19,24.4667,54.3667,91.51,75,0,9.22
106,Kikwit,CD,2021-10-02 15:39:38,-5.041,18.8162,81.82,62,91,4.59
107,Esmeraldas,BR,2021-10-02 15:39:39,-19.7625,-44.3139,88.84,26,79,7.18
108,Adre,TD,2021-10-02 15:39:39,13.4667,22.2,87.19,27,0,5.35
109,Issoire,FR,2021-10-02 15:39:39,45.55,3.25,72.66,47,86,15.95
110,Mollendo,PE,2021-10-02 15:39:39,-17.0231,-72.0147,66.07,70,99,11.3
111,Yeppoon,AU,2021-10-02 15:39:40,-23.1333,150.7333,62.38,71,0,4.85
112,Geraldton,AU,2021-10-02 15:39:40,-28.7667,114.6,62.13,77,40,10.36
113,Ancud,CL,2021-10-02 15:35:53,-41.8697,-73.8203,49.53,57,53,10.16
114,Njombe,TZ,2021-10-02 15:39:40,-9.3333,34.7667,65.28,44,54,6.91
115,Kijang,KR,2021-10-02 15:39:41,35.2442,129.2139,67.73,80,0,4.65
