City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Impfondo,CG,2021-10-03 22:27:26,1.6381,18.0667,71.24,97,98,2.1
68,Nikolskoye,RU,2021-10-03 22:27:26,59.7035,30.7861,45.88,91,0,6.96
69,Bethel,US,2021-10-03 22:26:56,41.3712,-73.414,71.82,81,90,0.0
70,Grindavik,IS,2021-10-03 22:27:27,63.8424,-22.4338,48.15,87,0,17.27
71,Kavieng,PG,2021-10-03 22:27:01,-2.5744,150.7967,82.63,71,100,5.26
72,Valley City,US,2021-10-03 22:27:27,46.9233,-98.0032,77.74,31,1,5.75
73,Balkhash,KZ,2021-10-03 22:27:27,46.844,74.9804,46.9,49,100,7.56
74,Jamestown,US,2021-10-03 22:23:54,42.097,-79.2353,68.02,97,90,3.0
75,Pandamatenga,BW,2021-10-03 22:27:28,-18.5278,25.627,73.15,48,27,1.48
76,Tuktoyaktuk,CA,2021-10-03 22:27:28,69.4541,-133.0374,35.6,93,90,14.97
77,Ilulissat,GL,2021-10-03 22:27:29,69.2167,-51.1,28.42,64,99,1.14
78,Thompson,CA,2021-10-03 22:26:35,55.7435,-97.8558,62.76,51,75,5.75
79,Paamiut,GL,2021-10-03 22:27:29,61.994,-49.6678,38.71,76,3,6.24
80,San Miguel De Cauri,PE,2021-10-03 22:27:29,-10.1,-76.5833,54.82,62,95,11.21
81,Utete,TZ,2021-10-03 22:27:30,-7.986,38.758,68.13,87,17,2.77
82,Khandyga,RU,2021-10-03 22:27:30,62.6667,135.6,25.95,92,7,2.77
83,East London,ZA,2021-10-03 22:27:30,-33.0153,27.9116,57.22,71,44,5.23
84,Dikson,RU,2021-10-03 22:27:31,73.5069,80.5464,34.86,98,100,23.98
85,Moree,AU,2021-10-03 22:23:12,-29.4667,149.85,66.22,55,2,17.27
86,Kodiak,US,2021-10-03 22:27:00,57.79,-152.4072,45.91,46,1,13.8
87,Del Rio,US,2021-10-03 22:27:31,29.3627,-100.8968,89.71,51,1,6.91
88,Puerto Ayora,EC,2021-10-03 22:27:31,-0.7393,-90.3518,75.16,79,31,11.48
89,Gat,IL,2021-10-03 22:27:32,31.61,34.7642,74.08,68,38,6.2
90,Skelleftea,SE,2021-10-03 22:27:32,64.7507,20.9528,54.0,64,90,4.0
91,Maceio,BR,2021-10-03 22:27:32,-9.6658,-35.7353,76.44,94,0,5.75
92,Leningradskiy,RU,2021-10-03 22:27:04,69.3833,178.4167,19.29,83,66,4.0
93,Harnosand,SE,2021-10-03 22:27:33,62.6323,17.9379,53.62,95,100,31.83
94,Rio Grande,BR,2021-10-03 22:27:33,-32.035,-52.0986,60.91,75,100,16.89
95,Benguela,AO,2021-10-03 22:27:33,-12.5763,13.4055,72.45,77,95,1.7
96,Ribeira Grande,PT,2021-10-03 22:27:34,38.5167,-28.7,71.83,89,24,6.46
97,Ellisras,ZA,2021-10-03 22:27:34,-23.6649,27.7443,64.2,74,0,9.75
98,Ensenada,MX,2021-10-03 22:24:40,31.8667,-116.6167,76.95,71,98,8.72
99,Saint-Philippe,RE,2021-10-03 22:27:34,-21.3585,55.7679,72.99,84,48,14.12
100,Megion,RU,2021-10-03 22:27:35,61.0296,76.1136,32.02,93,38,8.55
101,Auki,SB,2021-10-03 22:27:35,-8.7676,160.7034,81.81,78,14,2.71
102,Esperance,AU,2021-10-03 22:27:21,-33.8667,121.9,44.44,71,45,11.12
103,Pemangkat,ID,2021-10-03 22:27:35,1.1667,108.9667,78.73,83,100,7.09
104,Tual,ID,2021-10-03 22:27:36,-5.6667,132.75,80.64,67,96,8.41
105,Aksarka,RU,2021-10-03 22:27:36,66.5606,67.7975,29.07,79,93,9.98
106,Komsomolskiy,UZ,2021-10-03 22:27:19,40.4272,71.7189,56.12,54,97,2.3
107,Alice Springs,AU,2021-10-03 22:27:20,-23.7,133.8833,62.15,36,0,0.0
108,Nanortalik,GL,2021-10-03 22:27:16,60.1432,-45.2371,38.73,82,0,5.28
109,Narsaq,GL,2021-10-03 22:27:10,60.9167,-46.05,43.02,65,0,4.68
110,Yuli,NG,2021-10-03 22:27:37,9.6989,10.2744,78.17,74,0,4.85
111,Nema,RU,2021-10-03 22:27:37,57.5067,50.5011,40.17,78,100,4.83
112,Ponta Do Sol,PT,2021-10-03 22:27:37,32.6667,-17.1,75.0,78,100,5.73
113,Abha,SA,2021-10-03 22:27:38,18.2164,42.5053,62.42,72,0,0.0
114,Manavgat,TR,2021-10-03 22:27:38,36.7867,31.4431,70.21,40,0,7.74
115,Kruisfontein,ZA,2021-10-03 22:27:38,-34.0033,24.7314,50.88,79,34,5.88
116,Lastoursville,GA,2021-10-03 22:27:39,-0.8143,12.7287,71.71,98,50,1.66
117,Yellowknife,CA,2021-10-03 22:23:15,62.456,-114.3525,53.42,51,40,10.36
118,Saint George,US,2021-10-03 22:26:39,37.1041,-113.5841,91.26,13,1,1.01
119,Cayenne,GF,2021-10-03 22:27:14,4.9333,-52.3333,84.24,75,0,5.01
120,Burnie,AU,2021-10-03 22:27:39,-41.0667,145.9167,54.91,95,100,14.7
121,Cape Town,ZA,2021-10-03 22:26:45,-33.9258,18.4232,55.27,70,20,12.66
122,Grand Forks,US,2021-10-03 22:27:40,47.9417,-97.4337,76.93,29,1,4.61
123,Ozernovskiy,RU,2021-10-03 22:27:40,51.5,156.5167,47.75,85,99,27.47
124,Ferme-Neuve,CA,2021-10-03 22:27:40,46.7001,-75.4493,58.78,70,22,4.09
